"assignment_id","id","created_by","updated_by","start_date","end_date"
"6788","8","73","73","2020-11-23 16:00:00","2020-11-23 17:00:00"
"6789","31","73","73","2020-11-24 08:00:00","2020-11-24 09:00:00"
"6790","14","73","73","2020-11-24 10:00:00","2020-11-24 11:00:00"
"6791","14","73","73","2020-11-24 08:00:00","2020-11-24 09:00:00"
"6792","8","73","73","2020-11-30 12:00:00","2020-11-30 13:00:00"
"6793","24","73","73","2020-11-23 16:00:00","2020-11-23 17:00:00"
"6794","8","73","73","2020-11-24 08:00:00","2020-11-24 09:00:00"
"6795","24","73","73","2020-11-25 15:30:00","2020-11-25 16:30:00"
"6796","14","73","73","2020-11-25 13:30:00","2020-11-25 14:30:00"
"6797","8","73","73","2020-11-30 15:00:00","2020-11-30 16:00:00"
"6798","24","73","73","2020-12-3 13:00:00","2020-12-3 14:00:00"
"6800","8","73","73","2020-11-24 11:00:00","2020-11-24 12:00:00"
"6801","33","73","73","2020-11-24 11:00:00","2020-11-24 12:00:00"
"6802","24","73","73","2020-11-24 08:00:00","2020-11-24 09:00:00"
"6803","31","73","73","2020-12-3 14:00:00","2020-12-3 15:00:00"
"6804","24","73","73","2020-11-30 10:30:00","2020-11-30 11:30:00"
"6805","31","73","73","2020-11-24 11:00:00","2020-11-24 12:00:00"
"6806","33","73","73","2020-11-24 12:00:00","2020-11-24 13:00:00"
"6807","33","73","73","2020-11-24 14:00:00","2020-11-24 15:00:00"
"6808","24","73","73","2020-12-4 09:00:00","2020-12-4 10:00:00"
"6811","31","73","73","2020-11-25 10:00:00","2020-11-25 11:00:00"
"6812","31","73","73","2020-11-25 08:00:00","2020-11-25 09:00:00"
"6813","14","73","73","2020-11-24 14:00:00","2020-11-24 15:00:00"
"6814","33","73","73","2020-11-27 10:00:00","2020-11-27 11:00:00"
"6815","24","73","73","2020-11-24 14:30:00","2020-11-24 15:30:00"
"6816","10","73","73","2020-11-28 10:00:00","2020-11-28 11:00:00"
"6817","8","73","73","2020-11-24 16:30:00","2020-11-24 17:30:00"
"6818","8","73","73","2020-11-25 08:00:00","2020-11-25 09:00:00"
"6819","8","73","73","2020-12-1 14:30:00","2020-12-1 15:30:00"
"6820","24","73","73","2020-11-25 08:00:00","2020-11-25 09:00:00"
"6821","1","73","73","2020-11-25 11:00:00","2020-11-25 12:00:00"
