"assignment_id"	"tech_id"	"created_by"	"updated_by"	"start_date"	"end_date"
"2100"	"6"	"73"	"73"	"2020-5-15 12:00:00"	"2020-5-15 13:00:00"
"2101"	"7"	"73"	"73"	"2020-5-15 12:00:00"	"2020-5-15 13:00:00"
"2102"	"4"	"73"	"73"	"2020-5-15 15:00:00"	"2020-5-15 16:00:00"
"2103"	"6"	"73"	"73"	"2020-5-15 13:00:00"	"2020-5-15 14:00:00"
"2105"	"15"	"73"	"73"	"2020-5-15 15:00:00"	"2020-5-15 16:00:00"
"2106"	"15"	"73"	"73"	"2020-5-16 09:00:00"	"2020-5-16 10:00:00"
"2107"	"4"	"73"	"73"	"2020-5-9 10:00:00"	"2020-5-9 11:00:00"
"2108"	"15"	"73"	"73"	"2020-5-16 10:00:00"	"2020-5-16 11:00:00"
"2109"	"15"	"73"	"73"	"2020-5-16 15:00:00"	"2020-5-16 16:00:00"
"2110"	"4"	"73"	"73"	"2020-5-17 08:00:00"	"2020-5-17 09:00:00"
"2111"	"7"	"73"	"73"	"2020-5-17 12:00:00"	"2020-5-17 13:00:00"
"2112"	"4"	"73"	"73"	"2020-5-18 11:30:00"	"2020-5-18 12:30:00"
"2113"	"15"	"73"	"73"	"2020-5-18 10:30:00"	"2020-5-18 11:30:00"
"2114"	"4"	"73"	"73"	"2020-5-18 13:00:00"	"2020-5-18 14:00:00"
"2115"	"7"	"73"	"73"	"2020-5-18 18:00:00"	"2020-5-18 19:00:00"
"2116"	"4"	"73"	"73"	"2020-5-20 08:00:00"	"2020-5-20 09:00:00"
